14-05-2021 14:41:42: Main_Log created.
14-05-2021 14:41:42: Anemometer created.
14-05-2021 14:41:42: Display created.
14-05-2021 14:41:42: GPS created.
14-05-2021 14:41:42: IoTEngine created.
14-05-2021 14:41:42: OpticalSensor created.
14-05-2021 14:41:42: ProximitySensor created.
14-05-2021 14:41:42: Tachometer created.
14-05-2021 14:41:42: Thermostat created.
14-05-2021 14:41:42: Timer created.
14-05-2021 14:41:42: WaterSensor created.
14-05-2021 14:44:48: Message logged "Welcome admin. This is your alert console. You will recieve alerts from the IoTEngine here."
14-05-2021 14:44:48: Message logged "You may click the clear button down below to clear the console if it gets cluttered."
14-05-2021 14:44:48: Message logged "You have a sunny ride ahead of you. Have a safe trip!"
14-05-2021 14:44:48: Message logged "Arrived at Gate. Activate horn for 5s."
14-05-2021 15:21:01: Message logged "Welcome admin. This is your alert console. You will recieve alerts from the IoTEngine here."
14-05-2021 15:21:01: Message logged "You may click the clear button down below to clear the console if it gets cluttered."
14-05-2021 15:21:02: Message logged "You have a sunny ride ahead of you. Have a safe trip!"
14-05-2021 15:21:02: Message logged "Arrived at Gate. Activate horn for 5s."
14-05-2021 15:21:41: Message logged "Welcome admin. This is your alert console. You will recieve alerts from the IoTEngine here."
14-05-2021 15:21:41: Message logged "You may click the clear button down below to clear the console if it gets cluttered."
14-05-2021 15:21:41: Message logged "You have a sunny ride ahead of you. Have a safe trip!"
14-05-2021 15:21:41: Message logged "Arrived at Gate. Activate horn for 5s."
14-05-2021 15:32:17: Message logged "14-05-2021 14:41:42: IoTEngine created.
"
14-05-2021 15:32:17: Message logged "14-05-2021 14:44:48: Message logged "Welcome admin. This is your alert console. You will recieve alerts from the IoTEngine here."
"
14-05-2021 15:32:17: Message logged "14-05-2021 14:44:48: Message logged "You may click the clear button down below to clear the console if it gets cluttered."
"
14-05-2021 15:32:17: Message logged "14-05-2021 14:44:48: Message logged "You have a sunny ride ahead of you. Have a safe trip!"
"
14-05-2021 15:32:17: Message logged "14-05-2021 14:44:48: Message logged "Arrived at Gate. Activate horn for 5s."
"
14-05-2021 15:32:17: Message logged "14-05-2021 15:21:01: Message logged "Welcome admin. This is your alert console. You will recieve alerts from the IoTEngine here."
"
14-05-2021 15:32:18: Message logged "14-05-2021 15:21:01: Message logged "You may click the clear button down below to clear the console if it gets cluttered."
"
14-05-2021 15:32:18: Message logged "14-05-2021 15:21:02: Message logged "You have a sunny ride ahead of you. Have a safe trip!"
"
14-05-2021 15:32:18: Message logged "14-05-2021 15:21:02: Message logged "Arrived at Gate. Activate horn for 5s."
"
14-05-2021 15:32:18: Message logged "14-05-2021 15:21:41: Message logged "Welcome admin. This is your alert console. You will recieve alerts from the IoTEngine here."
"
14-05-2021 15:32:18: Message logged "14-05-2021 15:21:41: Message logged "You may click the clear button down below to clear the console if it gets cluttered."
"
14-05-2021 15:32:18: Message logged "14-05-2021 15:21:41: Message logged "You have a sunny ride ahead of you. Have a safe trip!"
"
14-05-2021 15:32:18: Message logged "14-05-2021 15:21:41: Message logged "Arrived at Gate. Activate horn for 5s."
"
14-05-2021 15:39:15: Message logged "Welcome admin. This is your alert console. You will recieve alerts from the IoTEngine here."
14-05-2021 15:39:15: Message logged "You may click the clear button down below to clear the console if it gets cluttered."
14-05-2021 15:39:16: Message logged "You have a sunny ride ahead of you. Have a safe trip!"
14-05-2021 15:39:16: Message logged "Arrived at Gate. Activate horn for 5s."
14-05-2021 15:57:28: Message logged "Warning: Rain detected. Please Slow Down."
14-05-2021 15:57:43: Message logged "Warning: Moving Object Detected. Please Slow Down."
14-05-2021 15:57:44: Message logged "Warning: Stationary Object Detected. Please Brake."
